k_step      t_sim  nID  pos    Ground Truth (x,y)    Prediction   (x,y)  tID  s0_OK  DMiss  TLost  in_e2e_delay
    32        311    0    0      88.07      83.66      87.52       82.7    0      1      0      0          0
    32        311    1    0      88.07      83.66      88.11      83.61    0      1      0      0          0
    32        311    2    0      88.07      83.66      88.39      83.41    0      1      0      0          0
    32        311    3    0      88.07      83.66       88.2      83.24    0      1      0      0          0
    33        321    0    0       87.4         85      87.46      84.79    0      1      0      0          0
    33        321    1    0       87.4         85      87.21      85.28    0      1      0      0          0
    33        321    2    0       87.4         85      87.16      85.51    0      1      0      0          0
    33        321    3    0       87.4         85      87.43      85.53    0      1      0      0          0
    34        331    0    0       87.4         85      86.65       84.7    0      1      0      0          0
    34        331    1    0       87.4         85      87.45      85.53    0      1      0      0          0
    34        331    2    0       87.4         85      86.54      84.26    0      1      0      0          0
    34        331    3    0       87.4         85       87.5      84.62    0      1      0      0          0
    35        341    0    0      86.77      82.78      87.22      82.69    0      1      0      0          0
    35        341    1    0      86.77      82.78      86.79      83.21    0      1      0      0          0
    35        341    2    0      86.77      82.78         87      83.27    0      1      0      0          0
    35        341    3    0      86.77      82.78      87.03      82.48    0      1      0      0          0
    36        351    0    0      86.77      82.78      85.78      83.29    0      1      0      0          0
    36        351    1    0      86.77      82.78      87.59      82.14    0      1      0      0          0
    36        351    2    0      86.77      82.78      86.13      82.88    0      1      0      0          0
    36        351    3    0      86.77      82.78      86.11      82.62    0      1      0      0          0
    37        361    0    0      86.19      83.18      86.77      83.78    0      1      0      0          0
    37        361    1    0      86.19      83.18      86.14      83.93    0      1      0      0          0
    37        361    2    0      86.19      83.18      86.42       83.9    0      1      0      0          0
    37        361    3    0      86.19      83.18      85.89      82.64    0      1      0      0          0
    38        371    0    0      86.19      83.18      86.55      83.81    0      1      0      0          0
    38        371    1    0      86.19      83.18      85.71      82.95    0      1      0      0          0
    38        371    2    0      86.19      83.18      87.19       82.3    0      1      0      0          0
    38        371    3    0      86.19      83.18      86.39      83.49    0      1      0      0          0
    39        381    0    0      85.57         83      86.59      83.59    0      1      0      0          0
    39        381    1    0      85.57         83      84.43      82.71    0      1      0      0          0
    39        381    2    0      85.57         83      84.72      81.85    0      1      0      0          0
    39        381    3    0      85.57         83       84.6      82.52    0      1      0      0          0
    40        391    0    0      85.57         83      85.71      82.79    0      1      0      0          0
    40        391    1    0      85.57         83      86.55      83.24    0      1      0      0          0
    40        391    2    0      85.57         83      84.85      82.47    0      1      0      0          0
    40        391    3    0      85.57         83      87.25         84    0      1      0      0          0
    41        401    0    0      84.84       82.8      83.26      84.29    0      1      0      0          0
    41        401    1    0      84.84       82.8      85.74      83.19    0      1      0      0          0
    41        401    2    0      84.84       82.8      84.86      83.11    0      1      0      0          0
    41        401    3    0      84.84       82.8      86.02      83.72    0      1      0      0          0
    42        411    0    0      84.84       82.8       83.3      82.83    0      1      0      0          0
    42        411    1    0      84.84       82.8      85.34      82.86    0      1      0      0          0
