k_step      t_sim  nID    Ground Truth (x,y)    Prediction   (x,y)  tID  TLost      delay_A    dalay_B
    13        121    3      85.75      65.93      85.76      66.04    0      0          0          0  
    14        131    0      85.75      65.93      85.45      65.74    0      0          0          0  
    14        131    1      85.75      65.93       85.3      65.65    0      0          0          0  
    14        131    2      85.75      65.93      86.01      65.81    0      0          0          0  
    14        131    3      85.75      65.93      84.77      65.16    0      0          0          0  
    15        141    0      87.88      67.81      87.34      68.04    0      0          0          0  
    15        141    1      87.88      67.81      88.34      67.99    0      0          0          0  
    15        141    2      87.88      67.81      86.04      68.64    0      0          0          0  
    15        141    3      87.88      67.81      87.62      68.05    0      0          0          0  
    16        151    0      87.88      67.81      87.81      68.07    0      0          0          0  
    16        151    1      87.88      67.81      86.91      67.95    0      0          0          0  
    16        151    2      87.88      67.81      87.57      68.03    0      0          0          0  
    16        151    3      87.88      67.81      88.05      67.49    0      0          0          0  
    17        161    0      89.67      69.63      89.12      69.36    0      0          0          0  
    17        161    1      89.67      69.63      89.62      69.98    0      0          0          0  
    17        161    2      89.67      69.63      88.19       68.7    0      0          0          0  
    17        161    3      89.67      69.63      90.44      69.27    0      0          0          0  
    18        171    0      89.67      69.63       89.6      69.79    0      0          0          0  
    18        171    1      89.67      69.63      89.72      69.36    0      0          0          0  
    18        171    2      89.67      69.63      89.71      69.74    0      0          0          0  
    18        171    3      89.67      69.63       90.4      70.34    0      0          0          0  
    19        181    0       91.9      71.79      91.23      70.89    0      0          0          0  
    19        181    1       91.9      71.79      91.93      71.17    0      0          0          0  
    19        181    2       91.9      71.79       91.9      71.65    0      0          0          0  
    19        181    3       91.9      71.79      91.76      71.83    0      0          0          0  
    20        191    0       91.9      71.79      92.06      72.18    0      0          0          0  
    20        191    1       91.9      71.79      91.46      72.11    0      0          0          0  
    20        191    2       91.9      71.79      92.11         72    0      0          0          0  
    20        191    3       91.9      71.79      91.63       71.5    0      0          0          0  
    21        201    0      91.27      73.99      91.39      74.09    0      0          0          0  
    21        201    1      91.27      73.99      91.87      74.11    0      0          0          0  
    21        201    2      91.27      73.99       90.8       74.6    0      0          0          0  
    21        201    3      91.27      73.99      91.53      73.72    0      0          0          0  
    22        211    0      91.27      73.99       90.2      74.46    0      0          0          0  
    22        211    1      91.27      73.99      91.68      73.92    0      0          0          0  
    22        211    2      91.27      73.99      90.79      73.98    0      0          0          0  
    22        211    3      91.27      73.99      90.79      73.84    0      0          0          0  
    23        221    0      90.69      75.75      91.14       76.7    0      0          0          0  
    23        221    1      90.69      75.75      90.93      75.69    0      0          0          0  
    23        221    2      90.69      75.75      90.97      75.64    0      0          0          0  
    23        221    3      90.69      75.75      90.78      75.59    0      0          0          0  
    24        231    0      90.69      75.75      91.86      75.44    0      0          0          0  
    24        231    1      90.69      75.75      90.37      75.28    0      0          0          0  
    24        231    2      90.69      75.75      90.79      76.03    0      0          0          0  
    24        231    3      90.69      75.75      91.05      75.57    0      0          0          0  
    25        241    0      89.95      77.87      89.49      78.56    0      0          0          0  
    25        241    1      89.95      77.87      89.51      78.56    0      0          0          0  
    25        241    2      89.95      77.87      90.07      78.47    0      0          0          0  
    25        241    3      89.95      77.87      91.01      77.28    0      0          0          0  
    26        251    0      89.95      77.87      91.03      77.88    0      0          0          0  
    26        251    1      89.95      77.87      89.51      77.54    0      0          0          0  
    26        251    2      89.95      77.87      90.35      77.24    0      0          0          0  
    26        251    3      89.95      77.87      90.14      78.21    0      0          0          0  
    27        261    0      89.43      79.68      89.49      79.81    0      0          0          0  
    27        261    1      89.43      79.68      90.09       79.2    0      0          0          0  
    27        261    2      89.43      79.68       89.4      80.14    0      0          0          0  
    27        261    3      89.43      79.68      89.55      79.95    0      0          0          0  
    28        271    0      89.43      79.68      89.86      80.06    0      0          0          0  
    28        271    1      89.43      79.68      89.23      79.54    0      0          0          0  
    28        271    2      89.43      79.68      88.78      79.86    0      0          0          0  
    28        271    3      89.43      79.68      90.23      80.35    0      0          0          0  
    29        281    0      88.61      81.82      89.85      80.27    0      0          0          0  
    29        281    1      88.61      81.82      87.24       81.5    0      0          0          0  
    29        281    2      88.61      81.82      88.76      81.91    0      0          0          0  
    29        281    3      88.61      81.82       88.7      81.91    0      0          0          0  
    30        291    0      88.61      81.82      88.67      82.37    0      0          0          0  
    30        291    1      88.61      81.82      88.95      81.94    0      0          0          0  
    30        291    2      88.61      81.82      88.52      82.45    0      0          0          0  
    30        291    3      88.61      81.82      89.91      83.76    0      0          0          0  
    31        301    0      88.07      83.66      88.32      83.49    0      0          0          0  
    31        301    1      88.07      83.66      88.17      84.99    0      0          0          0  
    31        301    2      88.07      83.66      88.67      84.33    0      0          0          0  
    31        301    3      88.07      83.66      87.87      83.72    0      0          0          0  
    32        311    0      88.07      83.66      87.52       82.7    0      0          0          0  
    32        311    1      88.07      83.66      88.11      83.61    0      0          0          0  
    32        311    2      88.07      83.66      88.39      83.41    0      0          0          0  
    32        311    3      88.07      83.66       88.2      83.24    0      0          0          0  
    33        321    0       87.4         85      87.46      84.79    0      0          0          0  
    33        321    1       87.4         85      87.21      85.28    0      0          0          0  
    33        321    2       87.4         85      87.16      85.51    0      0          0          0  
    33        321    3       87.4         85      87.43      85.53    0      0          0          0  
    34        331    0       87.4         85      86.65       84.7    0      0          0          0  
    34        331    1       87.4         85      87.45      85.53    0      0          0          0  
    34        331    2       87.4         85      86.54      84.26    0      0          0          0  
    34        331    3       87.4         85       87.5      84.62    0      0          0          0  
    35        341    0      86.77      82.78      87.22      82.69    0      0          0          0  
    35        341    1      86.77      82.78      86.79      83.21    0      0          0          0  
    35        341    2      86.77      82.78         87      83.27    0      0          0          0  
    35        341    3      86.77      82.78      87.03      82.48    0      0          0          0  
    36        351    0      86.77      82.78      85.78      83.29    0      0          0          0  
    36        351    1      86.77      82.78      87.59      82.14    0      0          0          0  
    36        351    2      86.77      82.78      86.13      82.88    0      0          0          0  
    36        351    3      86.77      82.78      86.11      82.62    0      0          0          0  
    37        361    0      86.19      83.18      86.77      83.78    0      0          0          0  
    37        361    1      86.19      83.18      86.14      83.93    0      0          0          0  
    37        361    2      86.19      83.18      86.42       83.9    0      0          0          0  
    37        361    3      86.19      83.18      85.89      82.64    0      0          0          0  
    38        371    0      86.19      83.18      86.55      83.81    0      0          0          0  
    38        371    1      86.19      83.18      85.71      82.95    0      0          0          0  
    38        371    2      86.19      83.18      87.19       82.3    0      0          0          0  
    38        371    3      86.19      83.18      86.39      83.49    0      0          0          0  
    39        381    0      85.57         83      86.59      83.59    0      0          0          0  
    39        381    1      85.57         83      84.43      82.71    0      0          0          0  
    39        381    2      85.57         83      84.72      81.85    0      0          0          0  
    39        381    3      85.57         83       84.6      82.52    0      0          0          0  
    40        391    0      85.57         83      85.71      82.79    0      0          0          0  
    40        391    1      85.57         83      86.55      83.24    0      0          0          0  
    40        391    2      85.57         83      84.85      82.47    0      0          0          0  
